title	body	milestone	label	fecha_inicio	fecha_fin
S13.1: Curva experimental B(t) vs DEB teórico	Ajustar parámetros DEB (ingestión, asimilación, mantenimiento) a datos propios de T1. Entregable: deb_ajustado.py con parámetros calibrados.	B2a: Modelado (Sem 13-18)	tipo:modelado	2026-08-04	2026-08-10
S14.1: Validación DEB predictiva de CO₂	Comparar CO₂ acumulado predicho por DEB vs mediciones por ciclo. Calcular RMSE, MAPE. Identificar residuos sistemáticos (target para PINN).	B2a: Modelado (Sem 13-18)	tipo:modelado	2026-08-11	2026-08-17
S15.1: Entrenar sensor virtual de biomasa (RNA feedforward)	RNA que infiera B(t) desde variables operativas (t, T, H, D0, sustrato). Ground truth: datos destructivos. División train/validation. Entregable: sensor_virtual.pkl + MAPE.	B2a: Modelado (Sem 13-18)	tipo:modelado	2026-08-18	2026-08-24
S16.1: Integración DEB + sensor virtual	Usar salida RNA como entrada dinámica al DEB para predecir CO₂. Comparar precisión: DEB puro vs DEB+RNA. Umbral de mejora: >15%.	B2a: Modelado (Sem 13-18)	tipo:modelado	2026-08-25	2026-08-31
S17.1: Diseñar y entrenar PINN con datos de CO₂	PINN con pérdida física (residual DEB) + pérdida datos (CO₂ medido). Ajustar λ_data vs λ_fisica. Entregable: pinn_entrenada.py + gráficos predicción vs real.	B2a: Modelado (Sem 13-18)	tipo:modelado	2026-09-01	2026-09-07
S18.1: Validación PINN leave-one-replica-out	Validación cruzada temporal. Evaluar generalización. Tabla de errores por réplica. Intervalo de confianza de predicciones.	B2a: Modelado (Sem 13-18)	tipo:modelado	2026-09-08	2026-09-14
S19.1: Extender PINN a CH₄ o definir regla umbral O₂-CH₄	Si hay datos CH₄: entrenar salida adicional. Si no: regla empírica CH₄>0 si O₂<2%. Documentar análisis por exclusión si no se detectó.	B2b: Métricas (Sem 19-24)	tipo:modelado	2026-09-15	2026-09-21
S20.1: Balance de carbono por tratamiento	C_ingresado = C_biomasa + C_frass + C_CO₂ + C_CH₄ + C_residual. Identificar fugas. Fuga <15% aceptable. >30% indica problema.	B2b: Métricas (Sem 19-24)	tipo:redaccion	2026-09-22	2026-09-28
S21.1: Calcular PCG (Potencial de Calentamiento Global)	CO₂-eq por kg sustrato. Comparar T1 vs C1 vs T2 vs C2. GWP-100 IPCC AR6 (CH₄=27-30). Figura clave: barras comparativas PCG.	B2b: Métricas (Sem 19-24)	tipo:redaccion	2026-09-29	2026-10-05
S22.1: Métricas MRV dinámicas	Índice Mitigación Larvaria (IML), tiempo ruptura anaeróbica (t_ruptura). Contraste vs factores emisión estáticos. Documento metricas_MRV.pdf.	B2b: Métricas (Sem 19-24)	tipo:redaccion	2026-10-06	2026-10-12
S23.1: Análisis de sensibilidad	Variar densidad larval, temperatura, humedad en modelo. Simular escenarios. Figuras sensibilidad + discusión escalabilidad tropical.	B2b: Métricas (Sem 19-24)	tipo:modelado	2026-10-13	2026-10-19
S24.1: Validación final y scripts reproducibles	README.md, requirements.txt, git tag v0.9-experimentos-cerrados. Cada figura vinculada a dato crudo. Repositorio listo para auditoría.	B2b: Métricas (Sem 19-24)	tipo:instrumentacion	2026-10-20	2026-10-26
S25.1: Redactar Capítulo 3 - Metodología (parte I)	Diseño experimental, instrumentación, protocolo batch manual, estructura modelo. Incluir figuras simulación preliminar (semana 4) como placeholders.	B3a: Redacción (Sem 25-30)	tipo:redaccion	2026-10-27	2026-11-02
S26.1: Completar Capítulo 3 y redactar 4.1-4.2	Metodología completa. Resultados sección 4.1 (instrumentación) y 4.2 (curvas emisión). Gráficos CO₂(t) por ciclo con bandas réplicas.	B3a: Redacción (Sem 25-30)	tipo:redaccion	2026-11-03	2026-11-09
S27.1: Redactar 4.3 - DEB, sensor virtual, PINN	Ajuste DEB, sensor virtual, integración híbrida, PINN. Tabla comparativa errores: DEB puro / DEB+RNA / PINN.	B3a: Redacción (Sem 25-30)	tipo:redaccion	2026-11-10	2026-11-16
S28.1: Redactar 4.4 - Eventos críticos y métricas	Detección anaerobiosis (O₂ vs CH₄, t_ruptura). Si falta O₂, usar proxy CO₂ estancado. Métricas gestión ambiental.	B3a: Redacción (Sem 25-30)	tipo:redaccion	2026-11-17	2026-11-23
